"Subject","Start.Date","Start.Time","End.Date","End.Time","All.day.event","Reminder.on.off","Reminder.Date","Reminder.Time","Meeting.Organizer","Required.Attendees","Optional.Attendees","Billing.Information","Location","Mileage","Priority","Private","Sensitivity","Show.time.as"
"Event 47","2/7/2017","12:00:00 AM","2/8/2017","12:00:00 AM","True","False","2/6/2017","6:00:00 AM","Person 1","","",NA,NA,NA,"Normal","False","Normal",3
"Event 48","1/18/2017","12:00:00 AM","1/19/2017","12:00:00 AM","True","False","1/17/2017","11:45:00 PM","","","",NA,NA,NA,"Normal","False","Normal",3
"Event 49","1/27/2017","12:00:00 AM","1/28/2017","12:00:00 AM","True","False","1/26/2017","6:00:00 AM","Person 1","","",NA,NA,NA,"Normal","False","Normal",3
"Event 50","1/27/2017","12:00:00 AM","1/28/2017","12:00:00 AM","True","False","1/26/2017","6:00:00 AM","Person 1","","",NA,NA,NA,"Normal","False","Normal",3
"Event 51","1/26/2017","12:00:00 AM","1/27/2017","12:00:00 AM","True","False","1/25/2017","6:00:00 AM","Person 1","","",NA,NA,NA,"Normal","False","Normal",3
"Event 52","1/20/2017","12:00:00 AM","1/21/2017","12:00:00 AM","True","False","1/19/2017","11:45:00 PM","","","",NA,NA,NA,"Normal","False","Normal",3
"Event 53","1/24/2017","11:00:00 AM","1/24/2017","12:00:00 PM","False","False","1/24/2017","10:45:00 AM","Person 1","Person 51","",NA,"Location 4",NA,"Normal","False","Normal",2
"Event 54","1/12/2017","4:30:00 PM","1/12/2017","5:30:00 PM","False","False","1/12/2017","4:15:00 PM","Person 1","","",NA,"Location 4",NA,"Normal","False","Normal",2
"Event 55","1/12/2017","2:00:00 PM","1/12/2017","2:30:00 PM","False","False","1/12/2017","1:45:00 PM","Person 13","Person 51;Person 5;Person 1","",NA,"Location 4",NA,"Normal","False","Normal",2
"Event 56","1/12/2017","4:30:00 PM","1/12/2017","5:30:00 PM","False","False","1/12/2017","4:15:00 PM","Person 14","Person 22;Person 5;Person 13;Person 1;Person 36;Person 64;Person 41","",NA,"Location 14",NA,"Normal","False","Normal",2
"Event 57","1/11/2017","10:00:00 AM","1/11/2017","11:00:00 AM","False","False","1/11/2017","9:45:00 AM","Person 11","Person 54;Person 6;Person 58;Person 9;Person 1;Person 52;Person 51;Person 55;Person 5;Person 3;Person 24;Person 30;Person 13","",NA,"Location 15",NA,"Normal","False","Normal",1
"Event 58","1/12/2017","12:00:00 PM","1/12/2017","2:30:00 PM","False","False","1/12/2017","11:45:00 AM","Person 1","","",NA,NA,NA,"Normal","False","Normal",2
"Event 59","1/11/2017","12:00:00 PM","1/11/2017","2:30:00 PM","False","False","1/11/2017","11:45:00 AM","Person 1","","",NA,NA,NA,"Normal","False","Normal",2
"Event 60","1/10/2017","3:00:00 PM","1/10/2017","5:30:00 PM","False","False","1/10/2017","2:45:00 PM","Person 1","","",NA,NA,NA,"Normal","False","Normal",2
"Event 61","1/13/2017","2:00:00 PM","1/13/2017","3:00:00 PM","False","False","1/13/2017","1:45:00 PM","Person 1","Person 51","",NA,"Location 4",NA,"Normal","False","Normal",2
"Event 62","1/9/2017","3:30:00 PM","1/9/2017","4:00:00 PM","False","False","1/9/2017","3:15:00 PM","Person 1","Person 5","",NA,"Location 16",NA,"Normal","False","Normal",2
"Event 63","1/10/2017","11:30:00 AM","1/10/2017","1:30:00 PM","False","False","1/10/2017","11:15:00 AM","Person 6","Person 11;Person 3;Person 9;Person 5;Person 13;Person 1;Person 54;Person 52;Person 51;Person 55;Person 65","",NA,"Location 17",NA,"Normal","False","Normal",2
"Event 64","1/13/2017","12:30:00 PM","1/13/2017","1:30:00 PM","False","False","1/13/2017","12:15:00 PM","Person 15","Person 63;Person 37;Person 35;Person 55;Person 66","",NA,"Location 18",NA,"Normal","False","Normal",2
"Event 65","1/5/2017","9:45:00 AM","1/5/2017","10:00:00 AM","False","False","1/5/2017","9:40:00 AM","Person 3","Person 11;Person 24;Person 13;Person 5;Person 52;Person 51;Person 6","Person 1;Person 9",NA,"Location 19",NA,"Normal","False","Normal",1
"Event 66","1/9/2017","12:00:00 AM","1/14/2017","12:00:00 AM","True","False","1/8/2017","6:00:00 AM","Person 16","Person 1","",NA,"Location 20",NA,"Normal","False","Normal",3
"Event 67","12/22/2016","6:00:00 PM","12/22/2016","6:30:00 PM","False","False","12/22/2016","5:45:00 PM","Person 1","","",NA,NA,NA,"Normal","False","Normal",2
"Event 68","12/21/2016","10:00:00 AM","12/21/2016","10:30:00 AM","False","False","12/21/2016","9:45:00 AM","Person 11","Person 5;Person 3;Person 24;Person 54;Person 6;Person 53;Person 18;Person 58;Person 9;Person 30;Person 1;Person 13","",NA,"Location 8",NA,"Normal","False","Normal",1
"Event 62","12/20/2016","10:30:00 AM","12/20/2016","11:30:00 AM","False","False","12/20/2016","10:15:00 AM","Person 1","Person 5","",NA,"Location 4",NA,"Normal","False","Normal",2
"Event 69","12/20/2016","2:30:00 PM","12/20/2016","3:00:00 PM","False","False","12/20/2016","2:15:00 PM","Person 17","Person 1;Person 67;Person 13;Person 5","",NA,NA,NA,"Normal","False","Normal",2
"Event 70","12/21/2016","12:00:00 AM","12/22/2016","12:00:00 AM","True","False","12/20/2016","12:00:00 PM","Person 1","","",NA,NA,NA,"Normal","False","Normal",3
"Event 71","1/11/2017","8:00:00 AM","1/14/2017","7:00:00 PM","False","False","1/11/2017","7:45:00 AM","Person 16","Person 5;Person 13;Person 1","Person 9",NA,NA,NA,"Normal","False","Normal",3
"Event 72","12/14/2016","1:00:00 PM","12/14/2016","2:00:00 PM","False","False","12/14/2016","12:45:00 PM","Person 1","Person 5","",NA,"Location 4",NA,"Normal","False","Normal",2
"Event 73","12/13/2016","1:00:00 PM","12/13/2016","1:30:00 PM","False","False","12/13/2016","12:45:00 PM","Person 1","","",NA,NA,NA,"Normal","False","Normal",3
"Event 74","12/13/2016","3:00:00 PM","12/13/2016","5:00:00 PM","False","False","12/13/2016","2:45:00 PM","Person 1","","",NA,NA,NA,"Normal","False","Normal",2
"Event 75","12/13/2016","2:00:00 PM","12/13/2016","2:30:00 PM","False","False","12/13/2016","1:45:00 PM","Person 1","","",NA,NA,NA,"Normal","False","Normal",2
"Event 76","12/19/2016","11:30:00 AM","12/19/2016","1:00:00 PM","False","False","12/19/2016","11:15:00 AM","Person 11","Person 5;Person 3;Person 18;Person 53;Person 6;Person 13;Person 1","",NA,"Location 21",NA,"Normal","False","Normal",2
"Event 77","12/12/2016","3:00:00 PM","12/12/2016","3:30:00 PM","False","False","12/12/2016","2:45:00 PM","Person 5","Person 14;Person 13;Person 22;Person 36;Person 64;Person 1;Person 18","",NA,"Location 22",NA,"Normal","False","Normal",2
"Event 78","12/9/2016","4:30:00 PM","12/9/2016","5:00:00 PM","False","False","12/9/2016","4:15:00 PM","Person 18","Person 1","",NA,"Location 23",NA,"Normal","False","Normal",2
"Event 79","12/16/2016","4:00:00 PM","12/16/2016","4:45:00 PM","False","False","12/16/2016","3:45:00 PM","Person 5","Person 1","",NA,"Location 4",NA,"Normal","False","Normal",2
"Event 80","12/16/2016","2:00:00 PM","12/16/2016","2:30:00 PM","False","False","12/16/2016","1:45:00 PM","Person 5","Person 7;Person 13;Person 1;Person 18","",NA,"Location 3",NA,"Normal","False","Normal",2
"Event 81","12/8/2016","1:00:00 PM","12/8/2016","1:30:00 PM","False","False","12/8/2016","12:45:00 PM","Person 5","Person 14;Person 1;Person 22;Person 36;Person 64","",NA,"Location 22",NA,"Normal","False","Normal",2
"Event 82","12/8/2016","3:00:00 PM","12/8/2016","4:00:00 PM","False","False","12/8/2016","2:45:00 PM","Person 1","Person 5","",NA,"Location 4",NA,"Normal","False","Normal",2
"Event 83","12/8/2016","3:00:00 PM","12/8/2016","4:00:00 PM","False","False","12/8/2016","2:45:00 PM","Person 19","Person 68;Person 1;Person 27;Person 5","",NA,"Location 24",NA,"Normal","False","Normal",1
"Event 84","12/16/2016","12:00:00 AM","12/17/2016","12:00:00 AM","True","False","12/15/2016","6:00:00 AM","Person 1","","",NA,NA,NA,"Normal","False","Normal",3
"Event 85","1/1/2017","12:00:00 AM","1/6/2017","12:00:00 AM","True","False","12/31/2016","6:00:00 AM","Person 1","","",NA,NA,NA,"Normal","False","Normal",4
"Event 85","12/21/2016","12:00:00 AM","1/1/2017","12:00:00 AM","True","False","12/20/2016","6:00:00 AM","Person 1","","",NA,NA,NA,"Normal","False","Normal",4
"Event 86","12/19/2016","12:00:00 AM","12/20/2016","12:00:00 AM","True","False","12/18/2016","6:00:00 AM","Person 1","","",NA,NA,NA,"Normal","False","Normal",3
"Event 62","12/7/2016","2:00:00 PM","12/7/2016","2:30:00 PM","False","False","12/7/2016","1:45:00 PM","Person 1","Person 5","",NA,"Location 4",NA,"Normal","False","Normal",2
"Event 87","12/16/2016","12:00:00 AM","12/17/2016","12:00:00 AM","True","False","12/12/2016","12:00:00 AM","Person 1","","",NA,NA,NA,"Normal","False","Normal",3
"Event 62","12/5/2016","5:00:00 PM","12/5/2016","5:30:00 PM","False","False","12/5/2016","4:45:00 PM","Person 1","Person 5","",NA,"Location 4",NA,"Normal","False","Normal",2
"Event 88","12/6/2016","12:00:00 PM","12/6/2016","1:00:00 PM","False","False","12/6/2016","11:45:00 AM","Person 20","","",NA,"Location 25",NA,"Normal","False","Normal",2
"Event 89","12/8/2016","12:00:00 PM","12/8/2016","1:00:00 PM","False","False","12/8/2016","11:45:00 AM","Person 13","Person 5;Person 1;Person 18","",NA,"Location 3",NA,"Normal","False","Normal",1
"Event 90","12/9/2016","11:30:00 AM","12/9/2016","12:30:00 PM","False","False","12/9/2016","11:15:00 AM","Person 9","Person 11;Person 5;Person 1;Person 3;Person 6;Person 53;Person 54;Person 24","Person 13",NA,NA,NA,"Normal","False","Normal",2
"Event 91","12/5/2016","2:30:00 PM","12/5/2016","3:30:00 PM","False","False","12/5/2016","2:15:00 PM","Person 21","Person 63;Person 69;Person 70;Person 24","",NA,"Location 26",NA,"Normal","False","Normal",2
"Event 92","12/14/2016","3:30:00 PM","12/14/2016","5:00:00 PM","False","False","12/14/2016","3:15:00 PM","Person 5","Person 13;Person 7;Person 1;Person 18;Person 8","Person 32",NA,"Location 27",NA,"Normal","False","Normal",2
"Event 93","11/30/2016","4:00:00 PM","11/30/2016","4:30:00 PM","False","False","11/30/2016","3:45:00 PM","Person 5","Person 1","",NA,"Location 4",NA,"Normal","False","Normal",2
"Event 94","11/30/2016","4:00:00 PM","11/30/2016","4:30:00 PM","False","False","11/30/2016","3:45:00 PM","Person 22","Person 5","Person 11;Person 36;Person 1",NA,"Location 8",NA,"Normal","False","Normal",2
"Event 95","12/5/2016","2:30:00 PM","12/5/2016","3:00:00 PM","False","False","12/5/2016","2:15:00 PM","Person 11","Person 21;Person 63","Person 36;Person 43;Person 42;Person 39",NA,NA,NA,"High","False","Normal",3
"Event 96","12/12/2016","12:00:00 AM","12/13/2016","12:00:00 AM","True","False","12/5/2016","12:00:00 AM","Person 1","","",NA,NA,NA,"Normal","False","Normal",3
"Event 97","12/5/2016","2:30:00 PM","12/5/2016","3:30:00 PM","False","False","12/5/2016","2:15:00 PM","Person 1","","",NA,NA,NA,"Normal","False","Normal",2
"Event 98","11/29/2016","10:30:00 AM","11/29/2016","11:00:00 AM","False","False","11/29/2016","10:15:00 AM","Person 1","","",NA,NA,NA,"Normal","False","Normal",2
"Event 99","11/28/2016","5:30:00 PM","11/28/2016","6:00:00 PM","False","False","11/28/2016","5:15:00 PM","Person 1","","",NA,NA,NA,"Normal","False","Normal",2
"Event 100","11/28/2016","2:00:00 PM","11/28/2016","2:30:00 PM","False","False","11/28/2016","1:45:00 PM","Person 23","Person 1;Person 18;Person 71;Person 13;Person 5","",NA,"Location 28",NA,"Normal","False","Normal",2
"Event 101","11/22/2016","3:00:00 PM","11/22/2016","4:00:00 PM","False","False","11/22/2016","2:45:00 PM","Person 1","Person 5","",NA,"Location 4",NA,"Normal","False","Normal",2
"Event 102","11/21/2016","3:00:00 PM","11/21/2016","3:30:00 PM","False","False","11/21/2016","2:45:00 PM","Person 13","Person 1;Person 5;Person 18","",NA,"Location 5",NA,"Normal","False","Normal",2
"Event 103","11/21/2016","12:30:00 PM","11/21/2016","2:30:00 PM","False","False","11/21/2016","12:15:00 PM","Person 13","Person 5;Person 1;Person 18","",NA,"Location 4",NA,"Normal","False","Normal",2
"Event 104","11/21/2016","2:00:00 PM","11/21/2016","3:00:00 PM","False","False","11/21/2016","1:30:00 PM","","","",NA,NA,NA,"Normal","False","Normal",2
